TL_x,TL_y,BR_x,BR_y
183,28.5,279,124.5
325,334,421,430
206,-30.5,302,65.5
413,383.5,509,479.5
328.5,437.5,424.5,533.5
402.5,167,498.5,263
265,242.5,361,338.5
13,424.5,109,520.5
366.5,398,462.5,494
4.5,257.5,100.5,353.5
397,115,493,211
438.5,428.5,534.5,524.5
404.5,316.5,500.5,412.5
34.5,114,130.5,210
-29,65.5,67,161.5
217,-5,313,91
-11.5,303.5,84.5,399.5
299,103.5,395,199.5
289,30.5,385,126.5
449.5,394,545.5,490
25.5,302,121.5,398
246.5,305,342.5,401
389,-23.5,485,72.5
192,93.5,288,189.5
367,78.5,463,174.5
267.5,360.5,363.5,456.5
332,123,428,219
-23.5,109.5,72.5,205.5
153,84,249,180
295,175.5,391,271.5
286,445.5,382,541.5
339,171.5,435,267.5
122,179.5,218,275.5
203.5,67.5,299.5,163.5
269,76,365,172
356,223,452,319
6.5,183,102.5,279
295.5,229.5,391.5,325.5
13,-21.5,109,74.5
-30,-12.5,66,83.5
377.5,16,473.5,112
244.5,181.5,340.5,277.5
202.5,240.5,298.5,336.5
154.5,-19.5,250.5,76.5
-30.5,224,65.5,320
244.5,31,340.5,127
248.5,118.5,344.5,214.5
259,4.5,355,100.5
165,314,261,410
-36.5,27,59.5,123
438,151.5,534,247.5
48,435,144,531
441.5,306,537.5,402
67.5,156.5,163.5,252.5
384.5,451,480.5,547
18,58,114,154
258,414.5,354,510.5
413,87,509,183
309,393.5,405,489.5
159,270.5,255,366.5
197.5,166.5,293.5,262.5
397.5,428,493.5,524
